east,north,cat,area
990739.30894324,1178883.86168888,1223,200686.53245600
1073121.43749426,1179603.79477305,1241,80994.56466800
1108057.34015183,1179543.80034937,1250,53996.37644500
932777.81136108,1179423.81150201,1262,84594.32309800
970788.79347112,1179573.79756121,1272,107992.75289100
924632.60090893,1179513.80313753,1326,55796.25566000
970158.77719305,1179393.81429017,1392,100793.23603200
1039835.57746973,1179303.82265465,1405,60295.95369700
1086261.77700823,1179213.83101913,1412,50396.61801600
959358.49814048,1179363.81707833,1438,89993.96074200
928712.7063288,1179453.80871385,1484,59396.01409000
990304.29770362,1179153.83659544,1500,228584.66028600
1057161.02511657,1178883.86168888,1565,120591.90739500
933002.81717468,1179273.82544281,1603,97193.47760200
1041860.62979209,1179243.82823097,1632,159289.31051400
999679.53993676,1179093.84217176,1691,161989.12933600
1041245.6139016,1179123.8393836,1764,112492.45092800
1045745.7301735,1179243.82823097,1768,55796.25566000
1076706.53012422,1179243.82823097,1772,101693.17563900
920087.48347431,1179273.82544281,1784,79194.68545300
963243.59852189,1178763.87284152,1852,113392.39053500
1038950.55460292,1178793.87005336,1866,54896.31605300
886396.61298531,1179093.84217176,1889,62995.77252000
886831.62422492,1179093.84217176,1890,71995.16859400
907892.16837744,1179093.84217176,1896,53096.43683800
944103.10397871,1179063.84495992,1911,53096.43683800
1043300.6669991,1178943.85611256,1937,116992.14896500
925727.62920176,1178913.85890072,1965,97193.47760200
1043975.68443988,1179153.83659544,1991,238483.99596800
896746.88041069,1178793.87005336,2002,79194.68545300
908207.17651648,1179003.85053624,2004,67495.47055700
1011484.84495672,1179183.83380729,2031,87294.14192000
1029110.30035502,1179123.8393836,2139,51296.55762300
1017500.0003735,1179003.85053624,2189,70195.28937900
932702.80942322,1178943.85611256,2276,96293.53799400
954333.36830351,1178583.88957048,2283,108892.69249800
959583.50395407,1178853.86447704,2285,92693.77956500
1002034.60078572,1179033.84774808,2297,64795.65173500
907307.1532621,1179033.84774808,2326,74694.98741600
939152.97607962,1178823.8672652,2337,51296.55762300
982354.09228992,1178853.86447704,2353,63895.71212700
1024280.17555651,1178973.8533244,2363,69295.34977200
1049960.83908152,1178763.87284152,2370,164688.94815900
1073091.43671912,1178583.88957048,2373,84594.32309800
935552.88306209,1178823.8672652,2459,77394.80623800
1121002.67462734,1178313.91466392,2504,223185.02264100
1032275.38213293,1178853.86447704,2533,100793.23603100
879796.44245318,1178793.87005336,2547,54896.31605300
943218.08111191,1178523.8951468,2561,83694.38349000
1000219.55388938,1178583.88957048,2691,63895.71212700
1044695.70304339,1178583.88957048,2704,77394.80623800
914597.34162258,1178733.87562968,2720,60295.95369700
971208.80432316,1178403.90629944,2738,102593.11524600
1022750.13602406,1178583.88957048,2750,153889.67286900
974928.90044127,1178733.87562968,2791,51296.55762300
1048940.81272655,1178703.87841784,2805,68395.41016400
1003774.64574419,1178673.881206,2847,248383.33164900
897106.88971244,1178553.89235864,2879,108892.69249800
985234.16670394,1178403.90629944,2892,91793.83995700
987739.23142863,1178673.881206,2894,166488.82737300
1040750.60111169,1178703.87841784,2904,111592.51132100
934937.8671716,1178433.90351128,2929,186287.49873700
1049315.82241588,1178433.90351128,2951,145790.21640300
942513.06289597,1178643.88399416,3020,54896.31605300
1013134.88758975,1178403.90629944,3039,64795.65173500
1024835.18989671,1178403.90629944,3040,203386.35127800
1045100.71350786,1178313.91466392,3042,403172.94412600
1081131.64445826,1178553.89235864,3049,57596.13487500
1038635.54646389,1178223.9230284,3103,86394.20231300
1040315.58987207,1178373.9090876,3160,92693.77956500
1045790.73133622,1178463.90072312,3162,89993.96074300
1032380.38484594,1178433.90351128,3216,51296.55762300
989779.28413856,1178223.9230284,3254,115192.26975000
1003039.62675311,1178523.8951468,3258,60295.95369700
905897.11683023,1178103.93418104,3290,61195.89330500
914942.35053676,1178283.91745208,3297,175488.22344800
1072131.41191444,1178463.90072312,3335,54896.31605300
1043840.68095173,1177953.94812184,3386,80994.56466800
1015444.947276,1178283.91745208,3503,83694.38349100
1028030.27244976,1178283.91745208,3511,120591.90739500
1018640.02982905,1178073.9369692,3574,130491.24307700
945063.12878339,1177743.96763896,3616,123291.72621700
1002289.60737446,1178343.91187576,3630,106192.87367600
1044350.69412921,1178193.92581656,3644,212385.74735200
1086831.791736,1178223.9230284,3651,131391.18268400
909887.21992466,1178133.93139288,3667,155689.55208400
1046900.76001662,1178073.9369692,3702,65695.59134200
910352.23193942,1177803.96206264,3726,102593.11524600
1031900.3724436,1178223.9230284,3761,70195.28937900
1020560.0794384,1178103.93418104,3818,109792.63210600
1120657.66571317,1178073.9369692,3839,54896.31605300
1029275.30461832,1177743.96763896,3917,115192.26975000
1031375.35887855,1178103.93418104,3918,63895.71212700
1104247.24170828,1178103.93418104,3926,68395.41016400
938117.94933708,1177863.95648632,3942,74694.98741600
1049315.82241588,1178133.93139288,3972,178188.04227000
1055480.98170839,1177803.96206264,3974,107092.81328400
1074396.47043797,1178163.92860472,3978,118792.02818000
1021220.09649161,1178043.93975736,4015,73795.04780900
